,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
13,Clifford der grosse rote Hund,"Animation, Children, Comedy",6/4Y.,G,13:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 13:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
14,House of Gucci,"Crime, Drama, Thriller",14/12Y.,E/gf,13:00,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 13:00:00,blue Cinema Corso Zürich,47.3663426,8.546734
15,House of Gucci,"Crime, Drama, Thriller",14/12Y.,E/gf,13:50,2021-12-23,Houdini,Zürich,2021-12-23 13:50:00,Houdini Zürich,47.3746074,8.5203069
16,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,13:00,2021-12-23,blue Cinema Metropol,Zürich,2021-12-23 13:00:00,blue Cinema Metropol Zürich,47.3737637,8.5307381
17,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,13:30,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 13:30:00,blue Cinema Corso Zürich,47.3663426,8.546734
18,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,G,13:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 13:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
19,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,13:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 13:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
20,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,13:50,2021-12-23,Kosmos,Zürich,2021-12-23 13:50:00,Kosmos Zürich,47.3799807,8.5290807
21,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,13:50,2021-12-23,Arena Cinemas,Zürich,2021-12-23 13:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
22,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,13:00,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 13:00:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
23,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,13:00,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 13:00:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
24,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,13:15,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 13:15:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
25,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,13:00,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 13:00:00,blue Cinema Corso Zürich,47.3663426,8.546734
